id_annotation	id_annotator	caption	url	cb0	cb1	cb2	cb3	cb4	cb5	cb6	other	cbWhen	cbHow	cbWhere	Identification	source	cbBrokenImg	cbMetaGood	cbMetaBad	cbVisible1	cbVisible2	cbVisible3	cbVisible4	cbVisible5	cbSubjectiveBad	cbSubjectiveGood	cbStory1	cbStory2	cbStory3	cbStory4	cbStory5
192	1	a city is the capital city	https://thumb9.shutterstock.com/display_pic_with_logo/533539/317913062/stock-photo-cairo-tv-tower-on-the-bank-of-nile-317913062.jpg	1	0	0	0	0	0	0		0	0	0	0	Story878	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
193	3	viewed from the northeast - full - height view	http://www.emporis.com/images/show/230783-Large-exterior-the-tower-rising-above-the-tree-lined-street.jpg	1	1	0	0	1	0	0		0	1	1	0	Meta101	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
194	3	beautiful house on a large plot a few km from beach	http://images.justimagineproperties.com/SJ042_ZZ00007335_31.JPG	0	0	0	0	0	0	0		0	0	0	0	Subjective552	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
195	3	production line at the factory	http://l7.alamy.com/zooms/1c8cae58fb4740d7922a2feed3fccd11/file-photo-dated-181016-of-bottles-of-gin-on-a-production-line-at-hjxjk8.jpg	1	1	0	0	1	0	0		0	1	0	0	Action840	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
196	3	ship type of the year	http://www.msnbc.com/sites/msnbc/files/styles/ratio--3-2--770x513/public/wip_0031_h_52116148.jpg?itok=gI-eXBQO	0	0	0	0	0	0	0		0	0	0	0	Subjective241	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
197	3	portrait of a young man playing golf	https://ak8.picdn.net/shutterstock/videos/29209678/thumb/1.jpg	1	1	1	0	1	0	0		0	0	1	0	True993	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
198	3	the stairs to the church of person	http://l7.alamy.com/zooms/736194d49d9f47d281055b7cc963d108/stairs-to-the-church-of-monte-madeira-jee4yj.jpg	0	1	0	0	1	0	0		0	0	0	0	Action24	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
199	3	ships in the harbour by painting artist	https://i2-prod.walesonline.co.uk/incoming/article10566569.ece/ALTERNATES/s615b/traf.jpg	0	1	0	0	1	0	0		0	0	0	0	Meta257	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
200	3	person in the conference room .	http://www.mysuburbanlife.com/_internal/cimg!0/ot9fo036mie7w6a7gcyrqw5sexy3dn7	1	1	0	0	1	0	0		0	1	0	0	Meta824	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
201	3	noble person and person attend an event .	https://i.pinimg.com/736x/10/6d/a7/106da71369f0d788f3138462f21a7989--monaco-grand-prix-formula-.jpg	1	1	0	0	1	0	0		0	1	0	0	Meta783	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
202	3	soccer player scores his sides first goal during the match .	http://footballteamsheet.com/wp-content/uploads/2016/10/De-Bruyne-goal-vs-Manchester-United.jpg	0	0	0	0	0	0	0		0	0	0	0	Action243	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203	3	father and son spending time together in the living room at home	https://static.lgamerica.com/assets/images/content/stock-images/dad-son-2x.jpg	1	1	0	0	1	0	0		0	1	0	0	Meta433	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
204	3	detail of a painting by painting artist	https://i.pinimg.com/736x/a8/08/79/a8087911dbea759511ab87cd8a38b69b--balestra-italian-painters.jpg	0	1	0	0	1	0	0		0	0	0	0	Meta806	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
205	3	a view of the rolling hills	http://l7.alamy.com/zooms/7a1006182d8e4841a7a15fb280208b26/view-of-green-fields-from-the-quantock-hills-somerset-with-blue-sky-de3frg.jpg	1	1	0	0	1	0	0		0	0	1	0	Action982	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
206	3	english civil parish is a market town and civil parish	http://l7.alamy.com/zooms/2831700153384ecdab0e9ac160906c5f/road-junction-in-the-centre-of-glossopderbyshire-d9wmak.jpg	1	1	0	0	1	0	0		0	1	0	0	Story627	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
207	3	i would love to have a room like this !	https://odis.homeaway.com/odis/listing/77f1d13a-8282-470a-b730-3925d3ffff10.c10.jpg	0	1	0	1	1	0	0		0	0	0	0	Subjective1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
208	3	this is the neon lights .	https://media.gettyimages.com/photos/view-of-the-marquee-at-radio-city-music-hall-on-june-10-2017-in-new-picture-id695310260?s=612x612	0	1	0	0	1	0	0		0	0	0	0	Subjective174	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
209	3	a man sits on a boat watching the sunset	https://media.gettyimages.com/photos/fisherman-steering-his-fishing-boat-on-the-red-sea-picture-id477946919	0	0	0	0	0	0	0		0	0	0	0	Action476	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210	1	a city is the capital city	https://thumb9.shutterstock.com/display_pic_with_logo/533539/317913062/stock-photo-cairo-tv-tower-on-the-bank-of-nile-317913062.jpg	0	1	0	0	0	0	0		0	0	0	0	Story878	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
211	2	digital art selected for the #	https://media.istockphoto.com/photos/digital-3d-illustration-of-a-creepy-creature-picture-id891451256?k=6&m=891451256&s=612x612&w=0&h=3877Hts0WcRA8F-dAZXvOSDXSOK-OGwSZ349Qhg0B3I=	1	0	0	0	1	0	0		0	0	1	0	Meta266	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
212	2	viewed from the northeast - full - height view	http://www.emporis.com/images/show/230783-Large-exterior-the-tower-rising-above-the-tree-lined-street.jpg	1	0	0	0	0	0	0		0	1	1	0	Meta101	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
213	2	beautiful house on a large plot a few km from beach	http://images.justimagineproperties.com/SJ042_ZZ00007335_31.JPG	0	0	0	0	0	0	0		0	0	0	0	Subjective552	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
214	2	production line at the factory	http://l7.alamy.com/zooms/1c8cae58fb4740d7922a2feed3fccd11/file-photo-dated-181016-of-bottles-of-gin-on-a-production-line-at-hjxjk8.jpg	1	1	0	0	0	0	0		0	1	0	0	Action840	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
215	2	ship type of the year	http://www.msnbc.com/sites/msnbc/files/styles/ratio--3-2--770x513/public/wip_0031_h_52116148.jpg?itok=gI-eXBQO	0	0	0	0	0	0	0		0	0	0	0	Subjective241	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216	2	cute little girl with a flower crown	http://www.melissajill.com/images/content/Why-Have-a-Photobooth_05.jpg	0	1	0	1	0	0	0		0	0	0	0	Subjective866	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
217	2	pretty girl listening music on headphones in the living room	https://ak5.picdn.net/shutterstock/videos/26231585/thumb/1.jpg	1	1	1	1	0	0	0		0	1	0	0	Story900	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
218	2	portrait of a young man playing golf	https://ak8.picdn.net/shutterstock/videos/29209678/thumb/1.jpg	1	1	1	0	0	0	0		0	0	1	0	True993	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
