id_annotation	id_annotator	caption	url	cb0	cb1	cb2	cb3	cb4	cb5	cb6	other	cbWhen	cbHow	cbWhere	Identification	source	cbBrokenImg	cbMetaGood	cbMetaBad	cbVisible1	cbVisible2	cbVisible3	cbVisible4	cbVisible5	cbSubjectiveBad	cbSubjectiveGood	cbStory1	cbStory2	cbStory3	cbStory4	cbStory5
9558	3	Please write the caption.	https://c1.staticflickr.com/9/8231/29626502966_b21ce6a3b0_o.jpg	0	0	0	0	0	0	1	Windsurfing by the ocean shore	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9559	3	Please write the caption.	https://c1.staticflickr.com/1/328/31270424410_7ced6ba223_o.jpg	0	0	0	0	0	0	1	Holiday card by the United States Department of Agriculture advertising conservation featuring gifts and plants	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9560	3	Please write the caption.	https://c1.staticflickr.com/9/8644/28374001885_a549ecae55_o.jpg	0	0	0	0	0	0	1	Buildings seen from the street	0	0	0	0	599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9561	3	Please write the caption.	https://c1.staticflickr.com/9/8800/28217628294_6948e07d59_o.jpg	0	0	0	0	0	0	1	View of a building and city with a man to the side looking out onto the city	0	0	0	0	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9562	3	Please write the caption.	https://c1.staticflickr.com/8/7779/29844726236_d8a247df62_o.jpg	0	0	0	0	0	0	1	People walking around a busy city street in front of a large building	0	0	0	0	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9563	3	Please write the caption.	https://c1.staticflickr.com/6/5673/31069659621_a0fec34cee_o.jpg	0	0	0	0	0	0	1	Woman with an umbrella reading a book sitting in the grass in front of a city skyline 	0	0	0	0	831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9564	3	Please write the caption.	https://c1.staticflickr.com/6/5731/31022503965_2ebce589d1_o.jpg	0	0	0	0	0	0	1	Holiday card featuring a cute reindeer at the North Pole	0	0	0	0	721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9565	3	Please write the caption.	https://c1.staticflickr.com/6/5831/31084849931_c76f7f6b61_o.jpg	0	0	0	0	0	0	1	Memorial plaque for Joseph James Crawford, a U.S. Navy veteran	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9566	3	Please write the caption.	https://c1.staticflickr.com/6/5802/30455700016_519408cded_o.jpg	0	0	0	0	0	0	1	A rock formation on top of a rocky mountain, looking out onto a forest with a single road running through it	0	0	0	0	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9567	3	Please write the caption.	https://c1.staticflickr.com/8/7722/26987093733_8c5bcbf121_o.jpg	0	0	0	0	0	0	1	Many balconies on a building facade with the head of a man in the lower right-hand corner	0	0	0	0	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
